subjectID,Left-Thalamus,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-transversetemporal,ctx-lh-insula,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Cerebral-White-Matter,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-transversetemporal,ctx-rh-insula,CSF,Left-Accumbens-area,Left-VentralDC,Left-choroid-plexus,Left-Lateral-Ventricle,Right-Cerebral-White-Matter,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Left-Inf-Lat-Vent,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-choroid-plexus,Left-Cerebellum-White-Matter,WM-hypointensities,Left-Cerebellum-Cortex
0025362_norm.mgz,0.9585422290782877,0.8949057360609707,0.6948924731182796,0.782999438307433,0.7883070992611628,0.823584728230205,0.6641880042090494,0.7401756153735425,0.9158140369772034,0.3971576723641252,0.8344095436138776,0.8544991030119913,0.8363180515759312,0.8029214139643588,0.9438144329896907,0.8434797953061585,0.8788732394366198,0.6655266757865937,0.6749015395631937,0.8143908421913328,0.7638334713543627,0.9417458945548833,0.7845853312022731,0.9128969818624991,0.8240127824697557,0.6415008527572484,0.6969886292640259,0.7474444595883877,0.8472023559108119,0.7721252462134076,0.871616932685635,0.9660550458715597,0.959406858202039,0.9662589057669042,0.9328214971209213,0.9625550660792952,0.8972972972972973,0.9018055899084838,0.956510809451986,0.9009752438109527,0.9500100891096198,0.8670275358907978,0.7455905932656334,0.7815206929740135,0.8221925133689839,0.8108974358974359,0.6826686826686826,0.5544584081388391,0.915,0.4005987463747778,0.8630799300483489,0.8345492209312798,0.8485084811854162,0.6072049689440994,0.9118025199280021,0.9110584049807293,0.8239721254355401,0.6681472081218274,0.6787330316742082,0.7534246575342466,0.8632051282051282,0.9265779304422499,0.878438331854481,0.878125,0.7887248322147651,0.7033246052527176,0.7684096254749412,0.7476693119654827,0.8213142174432497,0.8514336549647574,0.8992248062015504,0.9678834678834679,0.9052910052910053,0.8748387096774194,0.9347258485639687,0.8787738039944264,0.9865597433841219,0.9561823131553309,0.9867914144193726,0.9416243654822335,0.9216444489671314,0.7925047464436068,0.9672370797145068,0.9083215796897038,0.9666951323654995,0.9711168959960332,0.9453795946410168,0.9604606525911709,0.9287904599659285,0.8914027149321267,0.9297297297297298,0.8679738562091504,0.9277782793175048,0.8893617021276595,0.758775074253442
0026044_norm.mgz,0.9717489038130654,0.9159465828750982,0.828195067264574,0.8113341876690873,0.9035863996273871,0.8838821490467937,0.7962106687718506,0.7295183202964183,0.9245782335428382,0.6411535859269283,0.8793503480278422,0.8914609842097194,0.8879914984059512,0.7874911158493249,0.9214958606908364,0.9191733169633722,0.8555612506406971,0.7712489751298169,0.826280369567697,0.815927515498331,0.876557809515146,0.9527680448493343,0.909557733338155,0.9286817479785591,0.9117605929240665,0.7399950896145348,0.8913463375289198,0.7614819350887936,0.8572231274933978,0.8183720930232559,0.9303008070432869,0.9701093978809544,0.9700257697002577,0.9661142715805096,0.9182601386845977,0.9499174463401211,0.8928838951310861,0.9215060625398851,0.9566042210101968,0.903114186851211,0.9801157354165437,0.8472522717438339,0.8758542141230068,0.8742382271468144,0.7881294089029434,0.8493184944354133,0.7496511052086616,0.5611370294021916,0.9341513292433538,0.39321345361132687,0.8749000061534675,0.8813051439986682,0.8872377622377622,0.6636842804624175,0.9048760991207034,0.9078537654249799,0.8778848308312794,0.6674378253325621,0.8214515921103519,0.8952178533475027,0.8694245917888257,0.9322381930184805,0.9123616568729948,0.9153401887589802,0.9061748195669607,0.8060219055271282,0.8934099164385277,0.8035107300492111,0.8589042689310225,0.8456274719065855,0.9044943820224719,0.9714966256450973,0.9417927823050058,0.9392565729827742,0.9337221038465852,0.8660194174757282,0.9685897435897436,0.9771716560665762,0.9657470345195255,0.8954802259887006,0.9136647557114743,0.8000784679139795,0.9717739569274103,0.8732394366197183,0.9666136724960255,0.9733199933299983,0.9418752651675859,0.9483994266602962,0.9187052137385718,0.8868501529051988,0.9453214367421643,0.8890784982935154,0.9126366281355666,0.8616746587974917,0.788918965616541
0027236_norm.mgz,0.9679187274428552,0.8793671720500988,0.7000669792364367,0.8462287104622871,0.7877781467950847,0.8905109489051095,0.6013297217434129,0.6614374626992924,0.931053916964118,0.45442153688873743,0.7593162756131224,0.9224121735863235,0.6745023696682464,0.6996630160067396,0.8716173694147262,0.9005619350109944,0.7487637196960559,0.43923705722070844,0.6293340671436434,0.8342465753424657,0.7560018021497071,0.9343434343434344,0.8339874053116729,0.9254733109605522,0.7392996108949417,0.4639924492685229,0.7459585190928475,0.7136681600251513,0.8182474375631587,0.7333939945404914,0.9209171736078615,0.9626081582200248,0.9682520074119827,0.971496220744923,0.9419160170983153,0.9479702687249857,0.6548784338490685,0.8637527375921528,0.9526203342968456,0.9145652992096349,0.9583982062389373,0.845216606498195,0.7052880481513327,0.8626653102746694,0.7651485148514852,0.766786697733531,0.6677627418742886,0.5008750115133094,0.9294626941685765,0.36244171259008057,0.780441400304414,0.882384922073215,0.7545489740611692,0.6421618480313817,0.8817137534927041,0.8466760299625468,0.7047047047047047,0.47531270572745227,0.603998096144693,0.8214519293655984,0.7670716064287331,0.9209840810419682,0.8514015363483747,0.9265596519080379,0.7812591508052709,0.583161865569273,0.7784309292335518,0.7195558739255015,0.765183752417795,0.7291117722056949,0.9013605442176871,0.9574287259522521,0.9094922737306843,0.8997668997668997,0.9461538461538461,0.8509840674789129,0.9692211615665983,0.9502015355564524,0.9670240744487154,0.9276974416017798,0.7963316774933129,0.4886128364389234,0.9729766431287343,0.8576051779935275,0.9632335037740443,0.9651272384542884,0.934174437739989,0.9627414330218068,0.9171521035598705,0.8801996672212978,0.9442082205901301,0.8802880288028803,0.7292459163123741,0.8503773093937028,0.6169815055087634
0025604_norm.mgz,0.9657092093574178,0.9098792195726231,0.8708719203215097,0.8862031078323654,0.881876570790282,0.8930289806422737,0.8342509287856408,0.8009847761643973,0.946438639353505,0.6327605669133325,0.7967882335284406,0.8891579731743666,0.8761517290893861,0.8325125125125125,0.9436201780415431,0.9074634392334846,0.851555136663525,0.7324706590430334,0.6905829596412556,0.7592087312414734,0.798962946959058,0.951794322442421,0.9111853473102177,0.9396993226499256,0.8309659090909091,0.5452288245584335,0.7824589779041556,0.8439929511765316,0.8942310682631006,0.8567468145225783,0.9238996297819827,0.9721743412952475,0.9610684853651605,0.9774016553519947,0.9444573553334883,0.9698275862068966,0.8831768953068592,0.9309352123488608,0.9704364148287189,0.9264235444657709,0.974899793406671,0.8874746890367371,0.8693160395143654,0.9027512137707813,0.8546206896551725,0.9116532606527953,0.8047493403693932,0.5991152108433735,0.9446327683615819,0.5120908389990888,0.8039893830933805,0.9231601731601732,0.8634804482048937,0.6755011565150347,0.9386196769456682,0.9108726084927672,0.78689377194123,0.5746809244567093,0.644311797752809,0.8758709677419355,0.8568960197469917,0.945557198548192,0.8889253755849273,0.9333130637478464,0.8090770237835478,0.6328394786677064,0.8506710310965631,0.8367305340399511,0.843947982660887,0.8020035356511491,0.8561961563949636,0.9757311761045426,0.9250513347022588,0.9307432432432432,0.9486944571690334,0.8883928571428571,0.9719277810133955,0.9737747652652288,0.9684857801691007,0.9361702127659575,0.9048575212543256,0.800587308917386,0.9739674593241552,0.8880994671403197,0.9503293084522503,0.9760149323378442,0.9410354745925216,0.9739589056147676,0.9442715700141443,0.9130742049469964,0.957112725568315,0.8817567567567568,0.892135687968492,0.8669270051066387,0.7481562714187799
0025462_norm.mgz,0.9631629267195321,0.9109667558272831,0.8510316680523015,0.8377630787733013,0.8544649830773237,0.9232496307237814,0.8465619546247819,0.7836367935682195,0.9286911189722584,0.6447757438510411,0.7320053458919367,0.8878656092777352,0.7517074245428509,0.7456147856592795,0.9330985915492958,0.8939971102062262,0.8464172479391249,0.446167097329888,0.6568212080861882,0.7924123120973514,0.8765327695560253,0.9142121358441977,0.9168590350047303,0.9267768510464105,0.7633851468048359,0.5696952048145991,0.8140191420505405,0.8198598255845059,0.8677196954105784,0.8970025373070142,0.895247332686712,0.969756646504431,0.9531826908876089,0.9510233918128655,0.9214182044370723,0.9661016949152542,0.931782945736434,0.9352066827832165,0.9559622850804215,0.9182996683750377,0.9617974588211999,0.9012161826756019,0.8716585024492652,0.8483685220729367,0.8661188980183664,0.870555454600521,0.7823636917453548,0.5823750784026761,0.9326975976526682,0.5312749534202822,0.8598787105011172,0.9089954235126416,0.86150430197058,0.7336417713152676,0.946832077979619,0.8888086642599278,0.7748266666666667,0.6015625,0.6459384330279008,0.8499432463110103,0.8391388485728108,0.880930794802055,0.9010843594927403,0.9213367126630996,0.8241610738255034,0.7449286891300642,0.8723020513328709,0.7917728593784932,0.8528727997343075,0.8913865331562276,0.906163753449862,0.9705746214375455,0.9235337787676318,0.8950276243093923,0.9406440749315933,0.8698495748855462,0.9892769202255818,0.9622224060956438,0.9873473429420179,0.9345088161209067,0.9038337628865979,0.8080957162386131,0.9516324835473772,0.9261447562776958,0.9646789646789646,0.9593655319907325,0.9293345829428303,0.9661974952898149,0.926730379380249,0.9024561403508772,0.9412153236459709,0.8543352601156069,0.9096814408976084,0.8478057889822596,0.8645712721837435
0025598_norm.mgz,0.970767176138893,0.942647549183061,0.8134779687050014,0.8404840484048405,0.8502760636570315,0.9068083795440542,0.7410734853720341,0.7534306251361359,0.936222005842259,0.530488750969744,0.7536426380368099,0.8673057969715975,0.7666666666666667,0.727681282643022,0.9324538258575198,0.8966298499008779,0.8625785001847063,0.467216673903604,0.62689852520361,0.7972679292145296,0.8012210012210013,0.932,0.8795209129061159,0.9272340990572301,0.8289832489287106,0.4338366313420238,0.7326633882118166,0.741238670694864,0.7608058608058608,0.7734815402937674,0.896,0.9712768982841976,0.9764989454655016,0.9744232174548492,0.9486356340288925,0.967652495378928,0.840958605664488,0.9112695096472901,0.9625338920384521,0.9213395638629284,0.963240658373458,0.8460749102103643,0.8130732923679758,0.8389030421099956,0.8531139835487661,0.8647755439272927,0.7076905879722781,0.5178201270478101,0.9298056155507559,0.39090986178241327,0.8189964157706093,0.8826626215758009,0.8179114342366159,0.7191180736872643,0.933163913595934,0.8909090909090909,0.8466183574879227,0.5241038318912238,0.7832023169218039,0.8356234096692112,0.8120102801980819,0.9334992887624467,0.9001094810597766,0.9290096406660824,0.8211009174311926,0.6661146496815287,0.7820189178502995,0.7796106895414054,0.7901633293346867,0.8073095121553271,0.9054054054054054,0.9674260591526779,0.8893254747871644,0.9392070484581497,0.9440020885001958,0.8670309653916212,0.9747357566383088,0.9624615852297287,0.975233059691109,0.9171396140749148,0.866010232647939,0.6487896292575491,0.9708930204206034,0.9108527131782945,0.9710039341395891,0.9747223691168694,0.9508733624454149,0.9683500116360252,0.9336870026525199,0.9022939677145284,0.95492804778713,0.8966049382716049,0.8449836318120547,0.8651861119799812,0.6890673119225693
0027434_norm.mgz,0.9673601832410765,0.7281416924374473,0.7072633895818048,0.8288712011577424,0.367816091954023,0.7560402684563758,0.7373404102711232,0.4316324276562845,0.8859626020542534,0.6544591386910817,0.438770899231812,0.8562178632641402,0.3890577507598784,0.6619822485207101,0.8187919463087249,0.9021065675340768,0.5641800060404711,0.10478359908883828,0.08280254777070063,0.844542447629548,0.7481530246507205,0.9037867078825348,0.8551513298685417,0.9030336611719074,0.2720739219712526,0.07960199004975124,0.5438014760936999,0.7211615245009074,0.7936237715700689,0.7655060313114894,0.9049881235154394,0.8099547511312217,0.9313825896122897,0.9130434782608695,0.9138104838709677,0.9297800338409475,0.7298311444652908,0.8555936243110382,0.8703066076405969,0.7540983606557377,0.945848580996796,0.7332730560578662,0.63302034428795,0.8333638192793122,0.13577023498694518,0.792762657746693,0.6636615811373093,0.3634923777469808,0.8797539149888143,0.3964003999555605,0.45886370692331574,0.8421270005162622,0.3056633048875097,0.6452991452991453,0.8095781071835804,0.8462873004857737,0.531748726655348,0.0,0.08324084350721421,0.7393903167961745,0.645399166399487,0.9014787785673132,0.7710913172568614,0.9187594098163204,0.0,0.10509939498703544,0.6670034945897015,0.700951039098274,0.7202689861852204,0.6328330851185703,0.8711340206185567,0.7587594300083822,0.8971014492753623,0.7034482758620689,0.9326983331244517,0.8103837471783296,0.9670250527290498,0.941420461892242,0.9560299215471629,0.7135969141755063,0.8310082121302068,0.4497122440683768,0.9642248722316865,0.8672237697307336,0.9351071692535107,0.9202797202797203,0.933064050778996,0.7983567271482369,0.6452380952380953,0.315018315018315,0.9159049360146252,0.8125577100646353,0.8408329845123482,0.7880434782608695,0.581123298292021
0027268_norm.mgz,0.9723448072962636,0.9236560758921849,0.8424412268410401,0.8673425674710838,0.8550586742784649,0.880812324929972,0.815215415379022,0.7294104086219815,0.9538461538461539,0.6388375501880058,0.7308196721311475,0.932643221781055,0.7860853851366614,0.7709318097743434,0.9469489414694894,0.9073200120494026,0.8341220423412204,0.5159401431359791,0.70695067264574,0.8899829577731491,0.8185794813979707,0.9461336626022534,0.8750253190196475,0.9397034272807621,0.8523480052995731,0.48304383788254757,0.8272209185383842,0.8011992143078672,0.8583515681983953,0.8600553055359758,0.8745819397993311,0.9593629422871686,0.9629928677163235,0.9727258639392531,0.946463462289957,0.9650462032944958,0.9291767554479419,0.9571165613651063,0.9586066500791676,0.91736066623959,0.9732903062469386,0.888634280476627,0.7297507116363323,0.8504645760743321,0.7827242524916943,0.8988043550865006,0.7542279255545169,0.6499327655759749,0.9304911955514366,0.47539218701937863,0.7982024996489258,0.9239076376554174,0.8128718882817243,0.7003154574132492,0.9147826086956522,0.8670099208840889,0.7899576704130784,0.5464862505456133,0.6516220028208745,0.9018051973814719,0.8113444232342514,0.9313072962451338,0.826035189839926,0.91172446331682,0.8419991938734381,0.6635898013170485,0.838473057140997,0.7624272871496562,0.8424625829347323,0.8067106051527861,0.8847539015606243,0.9622857142857143,0.9319148936170213,0.924643584521385,0.9542097488921714,0.8931008339651251,0.9789969995713673,0.9701321156149231,0.9783373029375071,0.8853410740203193,0.9174391972952339,0.8802543032024619,0.9735525375268048,0.864321608040201,0.9511331444759207,0.9728414442700157,0.9413680781758957,0.9541511771995044,0.9286258572517145,0.8923303834808259,0.9575851693681452,0.8624641833810889,0.9051755871309726,0.8485045513654096,0.8734953279860135
0025930_norm.mgz,0.9674488152749022,0.906927921623513,0.8532429142757781,0.9215664146258887,0.8312085670576237,0.8863239833579385,0.7626714370900417,0.735292655030086,0.942339373970346,0.6678763527963191,0.8381617779919291,0.9346726705923104,0.8669358810203881,0.8197161943159809,0.9188649080735412,0.9264691784105071,0.7756719134811008,0.6822157434402333,0.6317044100119189,0.8736991485335857,0.8131351372892839,0.9412175126460841,0.9115903734913947,0.9347349978098992,0.8162000663937147,0.4715447154471545,0.7730206387857869,0.7728359078985718,0.8743257074884506,0.798857414901214,0.8766233766233766,0.9658239700374532,0.9733452365769673,0.975668202764977,0.9385400488129576,0.970066841034583,0.9201728451216739,0.9473067020164683,0.9603576751117735,0.9276298089857412,0.9716159322499576,0.8991260014566642,0.7883481474962598,0.8995514476009243,0.8618253743995479,0.9012181744702962,0.7084822345450811,0.6393964399387009,0.8891170431211499,0.6269677419354839,0.8147055486213548,0.9372581536760641,0.8188519097610006,0.6629000094957744,0.9311211664152841,0.8800528401585205,0.7955581531268264,0.45485455232338495,0.668991660348749,0.8970205958808238,0.7846692767360396,0.9094285714285715,0.8718900291589351,0.9216137308679112,0.8876228457484688,0.5761585087662126,0.8304803746839641,0.661844271936015,0.8339837290826113,0.8339661079729604,0.9218274111675127,0.968465736810188,0.914568345323741,0.9364081062194269,0.9523505637098489,0.8892580287929125,0.9857522959402626,0.9684969484021001,0.9847015729368671,0.871866295264624,0.936506655909641,0.8160799522673031,0.9767603997211248,0.8625954198473282,0.9647495361781077,0.9738639468172298,0.9415439535921464,0.9705793145283591,0.945071482317532,0.9141630901287554,0.9559397657557167,0.910167818361303,0.9395377791611548,0.8502857142857143,0.8566596395945737
0025248_norm.mgz,0.957870571446299,0.8729885955319482,0.8020764511562057,0.8660759493670886,0.7987860394537177,0.8887642340270376,0.7184219437859803,0.7537031822021966,0.9176562195834145,0.4959265294030514,0.8492090588369182,0.8996759194025644,0.8794552790854069,0.8117847577307037,0.9258788648877594,0.9192631339549693,0.8167027179535409,0.5950376606114312,0.7246016966687358,0.8270255116344267,0.7460461941062692,0.9261297798377752,0.8410958904109589,0.9267141403865717,0.8630531552762504,0.4047418335089568,0.8094466311646215,0.7297868254273094,0.8494339622641509,0.7745358090185677,0.8415178571428571,0.9486685915944819,0.9483027094363127,0.9651768084724466,0.9086268504338948,0.9417249417249417,0.9299957573186254,0.9509638343719061,0.9640546369518332,0.9171381031613977,0.9640790524457723,0.8964487222037836,0.7141833077316948,0.7970092268533249,0.8152380952380952,0.9018358157256667,0.7689251447652057,0.6975542335196202,0.9252641690682036,0.4041043048912205,0.8694327008160456,0.922003804692454,0.876818265512797,0.742404365849819,0.9319047619047619,0.9273514005921203,0.7693381412120507,0.7439912600145666,0.5343271871322087,0.8210474063042938,0.6837226949970188,0.8890643505724437,0.7500735943479541,0.9133294480059945,0.9159438574357357,0.7156632363665829,0.8800619965036856,0.7550573162508429,0.8227412089783868,0.71915879076172,0.9163043478260869,0.9668444238349176,0.8877551020408163,0.9046898638426626,0.9518993906391806,0.7993680884676145,0.9445269935611689,0.9643320770519263,0.9431880860452289,0.9423868312757202,0.9246492985971944,0.8412439046356934,0.9629773462783171,0.8943396226415095,0.9506135887458844,0.9695246557085739,0.9278821736922296,0.9633406166545277,0.9112724976318283,0.9036929761042722,0.9446958270487682,0.8343558282208589,0.895771586642956,0.85405120084455,0.8293782072989658
